,game_name,release_date,original_price($),discount_price($),steam_rating
145,Panzer Corps 2,"19 Mar, 2020",45.49,,74.99%
146,Panzer Corps 2,"19 Mar, 2020",45.49,,74.99%
147,Eco,"6 Feb, 2018",33.99,,78.34%
148,Black Desert Online,"24 May, 2017",12.99,,72.90%
149,Black Desert Online,"24 May, 2017",12.99,,72.90%
150,The Jackbox Party Pack 6,"17 Oct, 2019",33.99,,89.89%
151,The Sims™ 4,"18 Jun, 2020",39.99,,82.60%
152,Cuphead,"29 Sep, 2017",21.99,,94.59%
153,Cuphead,"29 Sep, 2017",21.99,,94.59%
154,Elite Dangerous,"2 Apr, 2015",39.99,,74.85%
155,LEGO® Harry Potter: Years 1-4,"25 Jun, 2010",19.99,4.99,80.31%
156,LEGO® Harry Potter: Years 1-4,"25 Jun, 2010",19.99,4.99,80.31%
157,LEGO® Harry Potter: Years 1-4,"25 Jun, 2010",19.99,4.99,80.31%
158,LEGO® Harry Potter: Years 1-4,"25 Jun, 2010",19.99,4.99,80.31%
159,Automation - The Car Company Tycoon Game,"12 Mar, 2015",33.99,,87.37%
160,Automation - The Car Company Tycoon Game,"12 Mar, 2015",33.99,,87.37%
161,Grand Theft Auto IV: The Complete Edition,"2 Dec, 2008",29.99,,69.18%
162,Grand Theft Auto IV: The Complete Edition,"2 Dec, 2008",29.99,,69.18%
163,Ultimate Epic Battle Simulator,"1 Jun, 2017",17.49,,70.00%
164,Wizard of Legend,"15 May, 2018",18.49,,89.19%
165,Parkitect,"29 Nov, 2018",33.99,,90.10%
166,Skully,"4 Aug, 2020",39.99,,68.15%
167,Cooking Simulator,"6 Jun, 2019",22.79,14.81,80.14%
168,Avorion,"9 Mar, 2020",28.99,,88.45%
169,Hellblade: Senua's Sacrifice,"7 Aug, 2017",32.99,,89.85%
170,7 Days to Die,"13 Dec, 2013",27.99,,83.51%
171,Tales Of Glory,"30 May, 2020",32.99,,75.52%
172,Total War: WARHAMMER II,"28 Sep, 2017",71.99,,91.39%
173,古剑奇谭三(Gujian3),"14 Dec, 2018",33.99,,84.31%
174,Iratus: Lord of the Dead,"23 Apr, 2020",33.99,,83.41%
175,LEGO® The Hobbit™,"10 Apr, 2014",19.99,4.99,76.73%
176,Company of Crime,"8 Aug, 2020",33.99,,45.92%
177,DiRT Rally 2.0,"25 Feb, 2019",45.49,11.37,76.10%
178,Borderlands GOTY Enhanced,"26 Oct, 2009",32.99,10.88,83.17%
179,For the People,"13 Aug, 2020",19.49,16.56,75.60%
180,The Feud: Wild West Tactics,"22 Jul, 2020",32.99,,72.79%
181,Gang Beasts,"12 Dec, 2017",21.99,,72.26%
182,Operencia: The Stolen Sun,"31 Mar, 2020",33.99,,75.15%
183,Frostpunk,"24 Apr, 2018",33.99,,88.84%
184,Total War: THREE KINGDOMS,"23 May, 2019",71.99,,83.55%
185,Void Bastards,"28 May, 2019",33.99,,84.15%
186,Hellsplit: Arena,"9 Sep, 2019",28.99,,77.47%
187,Microsoft Flight Simulator X: Steam Edition,"18 Dec, 2014",27.99,,82.62%
188,ASTRONEER,"6 Feb, 2019",34.99,,88.03%
189,theHunter: Call of the Wild™,"16 Feb, 2017",25.49,,82.48%
190,Rising Storm 2: Vietnam,"30 May, 2017",27.99,,82.56%
191,DayZ,"13 Dec, 2018",59.99,,64.28%
192,Call of Duty: World at War,"18 Nov, 2008",21.99,,91.84%
193,Hunt: Showdown,"27 Aug, 2019",54.00,,79.23%
194,LEGO® Harry Potter: Years 5-7,"5 Jan, 2012",19.99,4.99,82.59%
195,Kingdom Under Fire: Heroes,"24 Jun, 2020",19.99,13.99,74.33%
196,Ostriv,"19 Mar, 2020",28.99,,87.02%
197,Empyrion - Galactic Survival,"5 Aug, 2020",21.99,,79.02%
198,The Jackbox Party Pack 3,"17 Oct, 2016",27.99,,92.74%
199,Vampire: The Masquerade - Coteries of New York,"11 Dec, 2019",22.79,14.81,69.55%
200,Godhood,"11 Aug, 2020",33.99,27.19,66.56%
201,Human: Fall Flat,"22 Jul, 2016",16.99,,92.63%
202,BlazBlue Centralfiction,"26 Apr, 2017",43.99,8.79,88.71%
203,Agrou,"25 Jul, 2020",13.49,,84.60%
204,Franchise Hockey Manager 6,"11 Oct, 2019",22.79,,70.22%
205,SUPERHOT VR,"25 May, 2017",27.99,,85.86%
206,Visage,"2 Oct, 2018",24.99,,83.28%
207,5D Chess With Multiverse Time Travel,"22 Jul, 2020",13.49,,90.58%
208,Ori and the Blind Forest: Definitive Edition,"27 Apr, 2016",22.09,,94.20%
209,Baldur's Gate II: Enhanced Edition,"15 Nov, 2013",21.99,,86.54%
210,Forager,"18 Apr, 2019",22.79,,91.55%
211,Fault,"17 Jul, 2020",22.79,,66.51%
212,STAR WARS™ Battlefront™ II,"11 Jun, 2020",51.99,,83.30%
213,Detroit: Become Human,"18 Jun, 2020",43.99,,88.39%
214,Master of Orion,"25 Aug, 2016",28.99,,71.47%
215,Colony Survival,"16 Jun, 2017",22.79,,86.62%
216,Griftlands,"14 Jun, 2020",22.79,,92.92%
217,Metamorphosis,"12 Aug, 2020",28.99,26.09,80.53%
218,Tannenberg,"16 Nov, 2017",24.99,,83.42%
219,Starbound,"22 Jul, 2016",16.99,,91.95%
220,Rivals of Aether,"28 Mar, 2017",16.99,,90.96%
221,Outlast,"4 Sep, 2013",22.79,,94.38%
222,DARK SOULS™: REMASTERED,"23 May, 2018",49.99,,81.95%
223,Ravenfield,"18 May, 2017",16.99,,94.09%
224,Street Fighter V,"16 Feb, 2016",24.99,9.99,57.16%
225,Hatsune Miku VR / 初音ミク VR,"8 Mar, 2018",28.99,,70.27%
226,Volcanoids,"29 Jan, 2019",22.79,,78.46%
227,Police Simulator: Patrol Duty,"18 Jun, 2019",22.89,,50.02%
228,Beasts of Bermuda,"21 Dec, 2018",22.79,,72.75%
229,The Witcher 2: Assassins of Kings Enhanced Edition,"16 Apr, 2012",21.99,,88.37%
230,Tower Unite,"8 Apr, 2016",22.79,,85.91%
