,game_name,release_date,original_price($),discount_price($),steam_rating
814,Caveblazers,"24 May, 2017",10.99,2.74,84.49%
815,Zombie Army Trilogy,"6 Mar, 2015",49.99,,84.97%
816,Bayonetta,"11 Apr, 2017",24.99,,89.29%
817,Vagante,"21 Feb, 2018",16.99,,87.06%
818,Sword Art Online: Fatal Bullet,"23 Feb, 2018",49.90,,76.86%
819,Stay Close,"14 Oct, 2016",9.99,,61.09%
820,Jurassic World Evolution,"12 Jun, 2018",50.49,,80.42%
821,Planetbase,"15 Oct, 2015",17.49,,75.89%
822,Shadowrun: Hong Kong - Extended Edition,"20 Aug, 2015",21.99,5.49,82.93%
823,Supreme Commander,"28 Sep, 2011",13.99,,84.50%
824,Castlevania: Lords of Shadow 2,"25 Feb, 2014",43.99,,80.58%
825,AMID EVIL,"20 Jun, 2019",22.99,,92.52%
826,WRATH: Aeon of Ruin,"22 Nov, 2019",28.99,23.19,85.30%
827,Curse of the Dead Gods,"3 Mar, 2020",23.99,,85.13%
828,Graveyard Keeper,"15 Aug, 2018",22.79,,81.67%
829,Vengeful Rites,"9 Nov, 2018",22.79,15.95,85.45%
830,Layers of Fear VR,"10 Dec, 2019",22.79,,64.73%
831,Sunset Overdrive,"16 Nov, 2018",22.99,,87.84%
832,Narcosis,"28 Mar, 2017",17.49,5.24,72.77%
833,Aimbeast,"13 May, 2020",6.69,,87.96%
834,911 Operator,"24 Feb, 2017",16.99,1.69,85.41%
835,Middle-earth™: Shadow of War™,"10 Oct, 2017",59.99,,83.01%
836,Men of War: Vietnam,"8 Sep, 2011",8.79,1.75,62.05%
837,Holy Potatoes! A Weapon Shop?!,"13 Jul, 2015",16.99,1.69,71.27%
838,Derail Valley,"25 Jan, 2019",22.79,,87.68%
839,Dungreed,"14 Feb, 2018",11.49,,87.61%
840,ATRI -My Dear Moments-,"18 Jun, 2020",23.93,,94.47%
841,Friday the 13th: The Game,"25 May, 2017",22.79,,76.13%
842,Kelvin and the Infamous Machine,"21 Jul, 2016",11.49,1.72,83.52%
843,Hyper Light Drifter,"31 Mar, 2016",21.99,,91.29%
844,Duck Season,"14 Sep, 2017",21.99,,79.15%
845,Tales of Symphonia,"1 Feb, 2016",21.99,,80.58%
846,Max Payne 3,"31 May, 2012",21.99,,82.60%
847,Granny Simulator,"17 Apr, 2019",5.69,,87.05%
848,"Please, Don't Touch Anything 3D","7 Dec, 2016",11.49,,80.72%
849,Battle Realms: Zen Edition,"3 Dec, 2019",11.49,,79.96%
850,"STAR WARS™ Battlefront (Classic, 2004)","1 May, 2019",11.49,,91.65%
851,Dream Date,"9 May, 2020",2.29,,83.60%
852,NASCAR Heat 4,"13 Sep, 2019",22.79,,76.83%
853,Paper Beast,"24 Jul, 2020",22.79,,85.29%
854,Beyond Blue,"11 Jun, 2020",22.79,,78.07%
855,Miscreated,"18 Dec, 2018",22.79,,67.06%
856,Colony Siege,"19 Jun, 2020",22.79,,81.81%
857,Nimbatus - The Space Drone Constructor,"14 May, 2020",22.79,,80.09%
858,Not For Broadcast,"30 Jan, 2020",22.79,,92.24%
859,Airport CEO,"28 Sep, 2017",22.79,,80.37%
860,Metro Sim Hustle,"31 May, 2019",22.79,,77.37%
861,Sword Art Online Re: Hollow Fragment,"20 Aug, 2018",22.79,,77.97%
862,Gordian Quest,"27 Mar, 2020",22.79,,88.19%
863,FIGHTING EX LAYER,"29 Nov, 2018",45.49,,79.44%
864,My Friend Pedro,"20 Jun, 2019",22.79,,93.78%
865,Armored Brigade,"31 Oct, 2019",45.49,,83.13%
866,Totally Accurate Battlegrounds,"5 Jun, 2018",5.69,,81.46%
867,Empires of the Undergrowth,"1 Dec, 2017",22.79,,90.48%
868,Death end re;Quest,"16 May, 2019",45.49,,77.52%
869,Shovel Knight: Treasure Trove,"26 Jun, 2014",45.49,,93.88%
870,Ever Forward,"13 Aug, 2020",17.49,15.74,70.84%
871,The House of Da Vinci 2,"29 May, 2020",23.99,,84.74%
872,Field of Glory: Empires,"11 Jul, 2019",45.49,,78.73%
873,Automobilista 2,"30 Jun, 2020",45.49,,81.89%
874,Five Nights at Freddy's 4,"23 Jul, 2015",8.99,,89.71%
875,DRAGON QUEST HEROES™ Slime Edition,"3 Dec, 2015",44.99,,66.26%
876,Pro Cycling Manager 2020,"4 Jun, 2020",45.49,,76.02%
877,Cricket 19,"30 Jul, 2019",44.99,,84.45%
878,Stronghold Crusader 2,"22 Sep, 2014",44.99,,65.06%
879,Romance of the Three Kingdoms XI with Power Up Kit,"16 Jan, 2018",45.49,,85.63%
880,FINAL FANTASY VI,"16 Dec, 2015",22.49,,77.38%
881,FINAL FANTASY V,"24 Sep, 2015",22.49,,72.06%
882,Coffee Talk,"29 Jan, 2020",14.49,,88.80%
883,Secret Government,"22 Jun, 2020",24.95,22.45,67.00%
884,Unheard,"29 Mar, 2019",11.49,,94.52%
885,Tourist Bus Simulator,"6 Dec, 2018",45.00,,60.27%
886,Battlefleet Gothic: Armada,"21 Apr, 2016",25.99,,67.02%
887,Driftland: The Magic Revival,"18 Apr, 2019",33.99,8.49,72.71%
888,Radio Commander,"10 Oct, 2019",22.79,9.11,76.36%
889,Meitetsu:Pure Station,"21 Sep, 2018",28.99,11.30,92.18%
890,Mega Man Zero/ZX Legacy Collection,"25 Feb, 2020",39.99,,71.28%
891,Worms Reloaded,"26 Aug, 2010",21.99,,82.80%
892,What Remains of Edith Finch,"25 Apr, 2017",21.99,,92.95%
893,Sakura Dungeon,"3 Jun, 2016",21.99,,87.05%
894,Gal*Gun: Double Peace,"27 Sep, 2016",43.99,,82.24%
895,Red Faction Guerrilla Re-Mars-tered,"3 Jul, 2018",21.99,,76.56%
896,Quantum Break,"29 Sep, 2016",43.99,,83.41%
897,Battlestar Galactica Deadlock,"31 Aug, 2017",43.99,,80.71%
898,VALKYRIE DRIVE -BHIKKHUNI-,"20 Jun, 2017",32.99,,82.48%
899,Axiom Verge,"14 May, 2015",21.99,,89.88%
900,Kingdom Rush Frontiers,"25 Jul, 2016",10.99,,92.52%
901,RESONANCE OF FATE™/END OF ETERNITY™ 4K/HD EDITION,"17 Oct, 2018",39.99,,79.41%
902,IL-2 Sturmovik: 1946,"13 Jun, 2008",10.99,5.49,84.48%
903,Shadow Tactics: Blades of the Shogun,"6 Dec, 2016",43.99,,93.70%
904,Keplerth,"23 Apr, 2018",14.49,,83.80%
905,"Warhammer 40,000: Dawn of War II","18 Feb, 2009",21.99,,86.43%
906,APE OUT,"28 Feb, 2019",16.99,8.49,89.84%
907,Aven Colony,"25 Jul, 2017",37.99,,72.66%
908,Turmoil,"2 Jun, 2016",10.99,,88.50%
909,Crossroads Inn,"23 Oct, 2019",22.79,,62.71%
910,Tower!3D Pro,"8 Mar, 2017",54.99,,61.64%
911,Dark and Light,"20 Jul, 2017",20.49,,54.62%
912,Welcome to the Game,"15 Jun, 2016",5.49,,80.40%
913,GemCraft - Frostborn Wrath,"10 Jan, 2020",14.49,,82.15%
914,Dig or Die,"10 Jul, 2018",13.49,,87.17%
915,Bladed Fury,"17 Dec, 2018",11.49,6.31,82.82%
916,Delete,"25 Jan, 2018",2.29,,90.13%
917,This War of Mine,"14 Nov, 2014",21.99,,93.15%
918,Urban Cards,"26 Mar, 2020",19.99,,79.58%
919,Tube Tycoon,"28 Mar, 2018",12.49,,70.97%
920,Injustice: Gods Among Us Ultimate Edition,"12 Nov, 2013",19.99,,83.34%
921,The Walking Dead: Season Two,"17 Dec, 2013",19.99,,93.64%
922,Aokana - Four Rhythms Across the Blue,"27 Sep, 2019",39.99,,93.12%
923,Sniper Ghost Warrior Contracts,"22 Nov, 2019",39.99,,73.28%
924,Shining Resonance Refrain,"10 Jul, 2018",39.99,,72.35%
925,Someday You'll Return,"5 May, 2020",39.99,,78.46%
926,Farming Simulator 17,"24 Oct, 2016",19.99,,90.54%
927,Dragon's Dogma: Dark Arisen,"15 Jan, 2016",39.99,,87.24%
928,Devil May Cry HD Collection,"13 Mar, 2018",39.99,,85.13%
929,The Dark Pictures Anthology: Man of Medan,"29 Aug, 2019",39.99,,70.04%
930,L.A. Noire: The VR Case Files,"15 Dec, 2017",39.99,,56.29%
931,Last Oasis,"26 Mar, 2020",39.99,,65.30%
932,Super Mega Baseball 2,"1 May, 2018",22.79,,83.17%
933,Need for Speed™ Payback,"18 Jun, 2020",39.99,,75.20%
934,Hotline Miami,"23 Oct, 2012",10.99,,95.61%
935,Blackthorn Arena,"19 May, 2020",22.79,,73.99%
936,Serious Sam 3: BFE,"22 Nov, 2011",43.99,,86.74%
937,Moons of Madness,"22 Oct, 2019",34.99,,76.21%
938,Vampyr,"4 Jun, 2018",54.99,,73.51%
939,The Walking Dead: A New Frontier,"20 Dec, 2016",19.99,,76.41%
940,侠客风云传(Tale of Wuxia),"28 Apr, 2016",18.99,,75.24%
941,Resolutiion,"28 May, 2020",22.79,18.23,75.02%
942,Torque Drift,"24 Mar, 2020",17.99,,67.07%
943,Party Panic,"7 Aug, 2017",18.99,,75.06%
944,VirtuaVerse,"12 May, 2020",16.99,,79.72%
945,Overload,"31 May, 2018",33.99,,89.67%
946,Resident Evil 5,"15 Sep, 2009",19.99,,85.10%
947,Five Nights at Freddy's 3,"2 Mar, 2015",8.99,,85.48%
948,Hylics 2,"22 Jun, 2020",17.49,,89.52%
949,Aground,"17 Apr, 2020",17.49,,88.11%
950,Police Stories,"19 Sep, 2019",17.49,,81.41%
951,Nova Drift,"27 Mar, 2019",17.49,,93.90%
952,Deus Ex: Game of the Year Edition,"29 Mar, 2007",7.79,,91.89%
953,Princesses Never Lose!,"20 Mar, 2020",22.79,18.23,78.91%
954,MX vs. ATV Supercross Encore,"27 Oct, 2015",32.99,,52.63%
955,Constructor,"26 May, 2017",32.99,,69.26%
956,METAL GEAR RISING: REVENGEANCE,"9 Jan, 2014",32.99,,90.70%
957,Styx: Master of Shadows,"7 Oct, 2014",32.99,,80.51%
958,The Book of Unwritten Tales 2,"19 Feb, 2015",32.99,,86.07%
959,Exanima,"29 Apr, 2015",17.99,,79.17%
960,Wolfenstein: The New Order,"19 May, 2014",24.99,,88.57%
961,Bright Memory,"25 Mar, 2020",11.49,,89.84%
962,Worms Armageddon,"19 Mar, 2013",16.99,,90.90%
963,Chernobylite,"16 Oct, 2019",36.00,,70.30%
964,Doritos VR Battle,"4 Nov, 2016",3.29,,60.76%
965,Insurgency,"22 Jan, 2014",17.49,,90.17%
966,TY the Tasmanian Tiger 2,"12 Dec, 2017",17.49,,88.89%
967,The Citadel,"5 Aug, 2020",17.49,,80.32%
968,The Political Machine 2020,"3 Mar, 2020",17.49,,69.42%
969,Hellbound,"4 Aug, 2020",17.49,,68.04%
970,WolfQuest: Anniversary Edition,"25 Jul, 2019",17.49,,89.74%
971,Wilmot's Warehouse,"29 Aug, 2019",17.49,,85.55%
972,The Legend of Heroes: Trails in the Sky SC,"29 Oct, 2015",34.99,,92.43%
973,Bomber Crew,"19 Oct, 2017",17.49,,86.12%
974,The Caligula Effect: Overdose,"12 Mar, 2019",34.99,,75.22%
975,The Song of Saya,"13 Aug, 2019",17.49,,89.68%
976,Rift Wizard,"6 Jul, 2020",17.49,,79.83%
977,The Witch's House MV,"31 Oct, 2018",17.49,,90.77%
978,Airships: Conquer the Skies,"16 Aug, 2018",17.49,,91.09%
979,Britannic: Patroness of the Mediterranean,"19 Jun, 2020",17.49,,81.69%
980,Cepheus Protocol,"15 May, 2020",17.49,,82.54%
981,Out of Space,"26 Feb, 2020",17.49,,77.11%
982,Tick Tock: A Tale for Two,"7 Mar, 2019",6.69,,85.25%
983,Beetle Uprising,"22 Aug, 2017",11.49,,75.77%
984,ARIA CHRONICLE,"12 Jul, 2020",20.49,,76.14%
985,Drunkn Bar Fight,"28 Nov, 2016",15.49,,73.45%
986,Stronghold Crusader HD,"21 Oct, 2013",10.99,,93.69%
987,The Room,"28 Jul, 2014",5.49,,94.91%
988,FINAL FANTASY VIII,"5 Dec, 2013",16.99,,86.21%
989,EMERGENCY 20,"31 Oct, 2017",33.99,,73.76%
990,Genesis Alpha One Deluxe Edition,"25 Feb, 2020",33.99,,62.96%
991,GRIP: Combat Racing,"6 Nov, 2018",33.99,,82.80%
992,Prison Architect,"6 Oct, 2015",33.99,,89.68%
993,Monster Jam Steel Titans,"25 Jun, 2019",33.99,,69.49%
994,Transport Fever,"8 Nov, 2016",33.99,,80.46%
995,Mafia,"28 Aug, 2002",16.99,,87.21%
996,The Blackout Club,"30 Jul, 2019",33.99,,82.20%
997,Rise of Industry,"2 May, 2019",33.99,,76.06%
998,Rugby Union Team Manager 3,"18 Jun, 2020",33.99,,74.51%
999,Stephen's Sausage Roll,"18 Apr, 2016",33.99,,88.78%
1000,Dream Daddy: A Dad Dating Simulator,"20 Jul, 2017",16.99,,86.91%
1001,Grim Fandango Remastered,"27 Jan, 2015",16.99,,87.23%
1002,Broforce,"15 Oct, 2015",16.99,,95.10%
1003,Unity of Command II,"12 Nov, 2019",33.99,,77.50%
1004,Disgaea PC,"24 Feb, 2016",16.99,,84.89%
1005,SteamCity Chronicles - Rise Of The Rose,"16 Jun, 2020",28.99,,55.69%
1006,Sniper Elite: Nazi Zombie Army,"28 Feb, 2013",16.99,,84.74%
1007,CHKN,"1 Apr, 2016",16.99,,78.17%
1008,"Warhammer 40,000: Mechanicus","15 Nov, 2018",33.99,,89.00%
1009,Palais de Reine,"17 Jun, 2020",33.99,,77.88%
1010,Townsmen - A Kingdom Rebuilt,"26 Feb, 2019",22.79,11.39,74.01%
1011,BioShock Infinite,"26 Mar, 2013",32.99,,93.91%
1012,The Stanley Parable,"17 Oct, 2013",16.99,,90.28%
1013,Football Manager 2020 Touch,"19 Nov, 2019",30.99,10.53,79.92%
1014,Game Dev Tycoon,"29 Aug, 2013",10.99,,93.32%
1015,Obduction,"24 Aug, 2016",32.99,,77.79%
1016,Raging Loop,"23 Aug, 2017",32.99,,91.41%
1017,XCOM: Enemy Unknown,"9 Oct, 2012",32.99,,92.78%
1018,Business Magnate,"1 Mar, 2019",14.49,,60.07%
1019,GET EVEN,"20 Jun, 2017",32.99,,73.88%
1020,Grand Theft Auto: Vice City,"4 Jan, 2008",10.99,,90.29%
1021,Warhammer: End Times - Vermintide,"23 Oct, 2015",32.99,,78.26%
1022,EVERSPACE™,"25 May, 2017",32.99,,78.26%
1023,Passpartout: The Starving Artist,"6 Jun, 2017",10.99,,79.39%
1024,Operation Flashpoint: Dragon Rising,"6 Oct, 2009",10.99,,62.87%
1025,OneShot,"8 Dec, 2016",10.99,,95.47%
1026,OneShot,"8 Dec, 2016",10.99,,67.06%
1027,TransOcean: The Shipping Company,"23 Sep, 2014",30.49,,66.89%
1028,Pillars of Eternity,"26 Mar, 2015",32.99,,85.62%
1029,Divine Miko Koyori,"30 Jan, 2020",22.79,17.09,75.55%
1030,Bloody Rally Show,"20 Feb, 2020",22.79,15.95,84.18%
1031,"Invisible, Inc.","12 May, 2015",21.99,,89.18%
1032,Reentry - An Orbital Simulator,"15 Nov, 2018",28.99,,87.42%
1033,Valfaris,"10 Oct, 2019",28.99,,86.90%
1034,DiRT 4,"8 Jun, 2017",28.99,,71.72%
1035,Rocking Hero,"6 Aug, 2020",28.99,,60.95%
1036,Kingdom Rush,"6 Jan, 2014",10.99,,93.23%
1037,Pokka Man,"2 Apr, 2018",2.29,,53.32%
1038,Kindergarten 2,"30 Jul, 2019",17.49,,91.00%
1039,Detective Girl of the Steam City,"19 Jul, 2019",17.49,10.49,85.86%
1040,Artemis Spaceship Bridge Simulator,"16 Sep, 2013",7.79,,83.24%
1041,Survivalist: Invisible Strain,"1 Jun, 2020",7.99,,82.61%
1042,Zup! X,"17 May, 2018",1.19,,93.10%
1043,Do Not Feed the Monkeys,"23 Oct, 2018",12.99,5.19,89.14%
1044,POSTAL 2,"2 Nov, 2012",10.99,,93.68%
1045,Ancient Warfare 3,"21 Dec, 2017",10.29,,85.78%
1046,Life is Feudal: Forest Village,"26 May, 2017",27.99,,63.63%
1047,Shadowrun Returns,"25 Jul, 2013",16.99,,86.17%
1048,FURIDASHI: Drift Cyber Sport,"2 Nov, 2017",16.99,10.70,78.94%
1049,The Stillness of the Wind,"7 Feb, 2019",14.49,5.07,70.26%
1050,Cliff Empire,"6 Aug, 2019",13.49,,85.40%
1051,The Adventure Pals,"3 Apr, 2018",16.99,4.24,85.76%
1052,60 Seconds!,"25 May, 2015",9.99,,80.77%
1053,Batman - The Telltale Series,"2 Aug, 2016",19.99,,77.54%
1054,Batman: The Enemy Within - The Telltale Series,"8 Aug, 2017",19.99,,85.75%
1055,Dishonored,"11 Oct, 2012",14.99,,95.44%
1056,Mega Man X Legacy Collection 2,"24 Jul, 2018",29.99,,69.28%
1057,TROUBLESHOOTER: Abandoned Children,"23 Apr, 2020",29.99,,89.81%
1058,Mafia II: Definitive Edition,"19 May, 2020",29.99,,58.51%
1059,Disassembly VR,"31 Jan, 2019",33.99,,63.85%
1060,Batman™: Arkham Knight,"23 Jun, 2015",29.99,,76.59%
1061,Bad Sector HDD,"14 Oct, 2016",1.19,,79.45%
1062,Creaks,"22 Jul, 2020",26.99,,84.91%
1063,Holy Knight Luviria,"15 Nov, 2019",22.79,14.81,75.56%
1064,Treachery in Beatdown City,"31 Mar, 2020",22.79,14.81,74.20%
1065,Lilitales,"11 Oct, 2019",22.79,14.81,82.62%
1066,Freedom Finger,"27 Sep, 2019",17.99,10.79,83.04%
1067,Spaceteam VR,"21 May, 2020",22.79,,55.14%
1068,Nowhere Prophet,"19 Jul, 2019",28.99,,76.74%
1069,Afghanistan '11,"23 Mar, 2017",32.99,,68.14%
1070,Lilycle Rainbow Stage!!!,"15 Mar, 2019",28.99,,80.46%
1071,Bubsy: Paws on Fire!,"16 May, 2019",28.99,,65.82%
1072,World War I,"9 Apr, 2015",5.49,1.09,69.15%
1073,World War I,"9 Apr, 2015",5.49,1.09,69.15%
1074,Ashes Cricket,"15 Dec, 2017",28.99,,75.64%
1075,Plutocracy,"21 Nov, 2019",28.99,,73.00%
1076,Donut County,"28 Aug, 2018",14.49,,83.77%
1077,Heaven's Vault,"16 Apr, 2019",28.99,,87.61%
1078,SpeedRunners,"19 Apr, 2016",16.99,,91.69%
1079,SimAirport,"28 Feb, 2020",28.99,,75.46%
1080,Druidstone: The Secret of the Menhir Forest,"15 May, 2019",28.99,,80.32%
1081,Everreach: Project Eden,"4 Dec, 2019",28.99,,46.83%
1082,Streets of Rage 4,"30 Apr, 2020",28.99,,87.38%
1083,Swag and Sorcery,"9 May, 2019",14.49,,53.73%
1084,Pajama Sam 3: You Are What You Eat From Your Head To Your Feet,"15 May, 2014",7.79,3.11,87.75%
1085,Kingdom: New Lands,"9 Aug, 2016",16.99,,84.23%
1086,Vox Machinae,"26 Sep, 2018",28.99,,85.94%
1087,STAR WARS™ Galactic Battlegrounds Saga,"1 Mar, 2016",6.69,,85.10%
1088,STAR WARS™ Galactic Battlegrounds Saga,"1 Mar, 2016",6.69,,85.10%
1089,Sweet Story Neko,"29 May, 2020",1.19,,72.60%
1090,Styx: Shards of Darkness,"14 Mar, 2017",25.99,,78.75%
1091,The Surge,"15 May, 2017",25.99,,72.66%
1092,Holy Potatoes! What the Hell?!,"13 Oct, 2017",8.99,1.07,50.44%
1093,No one lives under the lighthouse,"21 Apr, 2020",5.69,,85.59%
1094,We Were Here Too,"2 Feb, 2018",11.49,,77.08%
1095,Super Arcade Football,"4 Apr, 2016",11.49,3.44,70.10%
1096,Suicide Guy VR,"24 Jul, 2020",7.99,,64.53%
1097,"Warhammer 40,000: Sanctus Reach","19 Jan, 2017",32.99,,81.28%
1098,Stationeers,"12 Dec, 2017",27.99,,78.71%
1099,Umineko When They Cry - Question Arcs,"8 Jul, 2016",27.99,,90.41%
1100,The Binding of Isaac,"28 Sep, 2011",5.49,,93.90%
1101,Heroes of Hammerwatch,"1 Mar, 2018",13.49,,84.72%
1102,The House in Fata Morgana,"13 May, 2016",27.99,,91.51%
1103,For The Warp,"27 Mar, 2020",17.49,13.99,80.09%
1104,SimplePlanes,"17 Dec, 2015",13.99,,88.76%
1105,vrkshop,"15 Jul, 2020",22.79,,77.21%
1106,Bio Inc. Redemption,"8 Mar, 2018",13.99,,83.83%
1107,The Banner Saga,"14 Jan, 2014",27.49,,87.06%
1108,Vanquish,"25 May, 2017",24.99,,85.58%
1109,Niplheim's Hunter - Branded Azel,"7 Jan, 2019",22.79,13.67,85.93%
1110,Opus Magnum,"7 Dec, 2017",22.79,,93.66%
1111,Bad Dream: Coma,"9 Mar, 2017",9.99,0.99,86.44%
1112,Megaquarium,"13 Sep, 2018",28.99,,88.36%
1113,Hand of Fate 2,"7 Nov, 2017",29.99,,83.18%
1114,Eleven: Table Tennis VR,"22 Sep, 2016",22.79,,89.78%
1115,Fishing Sim World®: Pro Tour,"18 Sep, 2018",26.99,,69.08%
1116,Shift 2 Unleashed,"29 Mar, 2011",26.99,,63.69%
1117,OmniFootman,"24 May, 2019",14.49,8.69,77.46%
1118,Sayonara Wild Hearts,"12 Dec, 2019",14.49,,93.14%
1119,The Room Three,"13 Nov, 2018",6.69,,92.81%
1120,Dead Space,"9 Jan, 2009",26.99,,88.23%
1121,Lumberjack's Dynasty,"30 Apr, 2020",29.99,,73.98%
1122,Seek Girl Ⅳ,"10 Jan, 2020",1.19,,69.68%
1123,The First Tree,"14 Sep, 2017",11.49,,74.81%
1124,SpellForce 3: Soul Harvest,"28 May, 2019",28.99,,82.99%
1125,CHUCHEL,"7 Mar, 2018",12.99,,75.49%
1126,Train Station Renovation,"30 Apr, 2020",17.49,13.99,81.05%
1127,Rusty Lake Paradise,"11 Jan, 2018",4.65,,88.94%
1128,Into the Rhythm VR,"18 Sep, 2017",21.99,,67.09%
1129,Fishing: Barents Sea,"7 Feb, 2018",30.49,,73.62%
1130,Truck Racer,"18 Oct, 2013",10.99,1.64,70.91%
1131,Spyro™ Reignited Trilogy,"3 Sep, 2019",49.99,,93.10%
1132,Life is Feudal: Your Own,"17 Nov, 2015",22.79,,64.78%
1133,Tyranny,"10 Nov, 2016",33.99,,84.11%
1134,Clicker Heroes 2,"16 Jul, 2018",22.79,,64.55%
1135,Factory Town,"12 Mar, 2019",22.79,,86.97%
1136,The Dark Crystal: Age of Resistance Tactics,"4 Feb, 2020",22.79,,69.91%
1137,Bloodstained: Curse of the Moon,"24 May, 2018",12.49,,90.90%
1138,Hitman: Contracts,"21 Jan, 2014",12.49,,81.57%
1139,Hitman: Contracts,"21 Jan, 2014",12.49,,81.57%
1140,Catherine Classic,"10 Jan, 2019",24.99,,85.25%
1141,CryoFall,"3 Apr, 2019",24.99,,75.04%
1142,Sleeping Dogs: Definitive Edition,"14 Oct, 2014",24.99,,89.25%
1143,FINAL FANTASY VIII - REMASTERED,"3 Sep, 2019",24.99,,60.08%
1144,Sword Art Online: Lost Song,"12 Nov, 2018",24.99,,77.57%
1145,Okami HD,"12 Dec, 2017",24.99,,89.35%
1146,圣女战旗 Banner of the Maid,"28 May, 2019",22.79,,87.27%
1147,The Evil Within,"14 Oct, 2014",24.99,,81.64%
1148,Cavity Busters,"12 Aug, 2020",13.49,12.14,75.00%
1149,Dungeon Core,"12 Aug, 2020",13.49,12.14,70.84%
1150,Spintires®,"12 Jun, 2014",13.49,,85.75%
1151,Heretic Operative,"18 Feb, 2019",22.79,,76.67%
1152,The Typing of The Dead: Overkill,"29 Oct, 2013",21.99,,83.50%
1153,Icewind Dale: Enhanced Edition,"30 Oct, 2014",21.99,,83.75%
1154,Odd Realm,"11 Jan, 2019",11.49,,84.51%
1155,Shieldwall,"23 Mar, 2020",11.49,,88.80%
1156,Doodle God,"24 Sep, 2015",12.99,5.71,73.04%
1157,Katy and Bob: Safari Cafe,"18 Jun, 2018",5.69,,79.13%
1158,Vibrant Venture,"24 Jul, 2020",11.49,,87.01%
1159,FPV Freerider Recharged,"17 Mar, 2018",11.49,,70.52%
1160,Ultimate Fishing Simulator VR,"15 Nov, 2019",33.99,15.29,79.42%
1161,Hello Neighbor,"8 Dec, 2017",33.99,,75.33%
1162,Supreme Commander 2,"2 Mar, 2010",13.99,,84.69%
1163,Sid Meier's Colonization (Classic),"9 Oct, 2014",7.79,,86.44%
1164,Half-Life: Blue Shift,"1 Jun, 2001",5.69,,87.72%
1165,Alternate DiMansion Diary,"23 May, 2019",11.49,5.74,80.60%
1166,河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon),"15 Nov, 2018",23.99,,72.72%
1167,Freddi Fish 3: The Case of the Stolen Conch Shell,"15 May, 2014",7.79,,84.90%
1168,Brave Alchemist Colette,"28 Apr, 2020",28.99,23.19,84.27%
1169,Clash of Chefs VR,"16 Nov, 2018",22.79,,70.88%
1170,Kingdoms and Castles,"20 Jul, 2017",10.99,,88.42%
1171,Climbey,"25 Oct, 2016",10.99,,86.82%
1172,Grand Theft Auto III,"4 Jan, 2008",10.99,,84.47%
1173,Aim Hero,"5 Sep, 2016",5.49,,83.92%
1174,Aim Hero,"5 Sep, 2016",5.49,,83.92%
1175,Heave Ho,"29 Aug, 2019",11.49,,88.89%
1176,Duck Season PC,"17 Jun, 2019",11.49,,84.22%
1177,Half-Life: Alyx - Final Hours,"9 Jul, 2020",11.49,,89.07%
1178,GearCity,"30 May, 2014",22.99,,81.01%
1179,"Warhammer 40,000: Regicide","8 Sep, 2015",11.49,,68.00%
1180,STAR WARS™ Episode I Racer,"16 Nov, 2018",11.49,,83.50%
1181,Exit the Gungeon,"17 Mar, 2020",11.49,,71.13%
1182,Undead Development,"24 Oct, 2017",20.49,,74.98%
1183,Plebby Quest: The Crusades,"8 Apr, 2020",22.79,,80.05%
1184,Disneyland Adventures,"14 Sep, 2018",22.79,,80.68%
1185,Stonehearth,"25 Jul, 2018",22.79,,74.35%
1186,Trainz: A New Era,"14 May, 2015",22.79,,66.80%
1187,Breathedge,"13 Sep, 2018",22.79,,88.18%
1188,Founders' Fortune,"19 Jul, 2019",22.79,,86.59%
1189,Survive the Nights,"21 Dec, 2017",22.79,,55.06%
1190,Tools Up!,"3 Dec, 2019",22.79,,66.59%
1191,Urtuk: The Desolation,"14 Feb, 2020",22.79,,88.33%
1192,The Lord of the Rings: Adventure Card Game - Definitive Edition,"29 Aug, 2019",22.79,,70.35%
1193,Diesel Brothers: Truck Building Simulator,"10 May, 2019",22.79,,63.30%
1194,Bloody Trapland 2: Curiosity,"1 Feb, 2019",22.79,,75.98%
1195,Super Lucky's Tale,"14 Sep, 2018",22.79,,80.96%
1196,Blade Strangers,"28 Aug, 2018",22.79,,70.42%
1197,Power Rangers: Battle for the Grid,"24 Sep, 2019",22.79,,84.40%
1198,The Plague: Kingdom Wars,"9 Jul, 2020",22.79,,68.60%
1199,Café Rouge,"1 Jul, 2020",22.79,,38.04%
1200,GROUND BRANCH,"14 Aug, 2018",22.79,,81.19%
1201,Little Big Workshop,"17 Oct, 2019",22.79,,83.79%
1202,太吾绘卷 The Scroll Of Taiwu,"20 Sep, 2018",22.79,,85.65%
1203,Epic Battle Fantasy 5,"30 Nov, 2018",22.79,,94.51%
1204,Minoria,"27 Aug, 2019",22.79,,81.44%
1205,Radio General,"9 Apr, 2020",22.79,,81.86%
1206,Furious Seas,"16 Jul, 2018",22.79,,76.84%
1207,Cogmind,"16 Oct, 2017",22.79,,90.87%
1208,Supraland,"5 Apr, 2019",22.79,,93.05%
1209,Hide Or Die,"1 May, 2020",22.79,,59.32%
1210,Scythe: Digital Edition,"5 Sep, 2018",22.79,,84.54%
1211,Divine Favor,"10 Aug, 2020",1.19,1.07,59.42%
1212,"Species: Artificial Life, Real Evolution","28 Sep, 2018",22.79,,72.38%
1213,Split/Second,"6 Oct, 2014",22.79,,75.57%
